stock_1,stock_2,stock_3,stock_4
35.6545,8.7256,3.5514,42.7661
35.5278,8.8487,3.7200,42.3637
35.2646,8.8487,3.7795,41.7086
35.0990,8.8108,3.8589,43.0187
35.4791,8.9150,3.7200,44.4318
34.8943,8.8961,3.7795,46.2098
34.5726,8.7256,3.6307,45.3863
33.9293,8.7066,3.6406,42.7941
34.1632,8.6403,3.5910,43.2433
34.5921,8.6308,3.3530,43.6364
34.4556,8.5550,3.3827,43.6364
34.8065,8.5550,3.7200,44.5815
36.1419,8.5455,3.5216,40.7167
36.3368,8.5455,3.1744,39.0697
36.6000,8.5550,3.1645,39.3317
36.7462,8.5455,3.0554,38.1994
36.7462,8.5266,3.1446,38.1806
38.6176,8.6024,3.0554,38.6298
38.4714,8.6687,2.9958,39.0884
37.8086,8.6592,2.8470,39.0509
38.6079,8.5929,2.8867,38.4520
38.0328,8.5645,2.8768,37.6472
38.0913,8.5929,2.8867,37.7127
37.6234,8.5455,2.8966,38.2181
37.3213,8.5361,2.8966,37.7970
37.0386,8.5455,2.9859,37.7595
37.2141,8.5645,3.0355,37.2823
38.8808,8.5929,2.8570,38.0028
39.4754,8.5550,2.9165,36.6647
39.5338,8.5550,2.9760,36.4494
39.2609,8.5171,2.9562,35.6072
39.7288,8.4887,2.7478,35.5978
41.9121,8.4698,2.7875,35.6353
41.4832,8.2613,2.6883,35.4668
41.8926,8.0908,2.5990,34.8679
40.7522,8.0813,2.6288,35.4949
41.7756,8.0624,2.6189,35.5791
42.1460,8.0813,2.4899,35.3920
41.4248,8.0434,2.6586,35.3732
41.1616,8.0908,2.5792,35.4575
39.9627,8.0340,2.5494,34.3532
41.1323,8.1666,2.5792,36.3652
40.9374,8.1950,2.5792,35.6821
41.2103,8.2898,2.4998,35.7944
41.2103,8.2708,2.4006,34.8024
40.3916,8.1950,2.4403,34.6714
40.1576,8.1097,2.4800,34.6246
39.8165,8.1950,2.4998,35.0644
39.2122,8.1476,2.5792,34.8866
39.0660,8.1761,2.7578,35.0083
38.9198,8.2234,2.8768,34.9802
39.2999,8.1855,2.8173,34.7743
38.1985,8.1097,3.0157,34.2222
38.7346,8.1382,2.9462,33.8011
38.1790,8.0624,2.8669,33.8947
37.7209,8.1097,2.8470,34.2971
37.4090,8.1287,2.9165,36.0096
