date,open,high,low,close,volume
1999-07-27,7.27,7.31,6.63,6.7,107249800
1999-07-28,6.7,6.98,6.7,6.85,32242400
1999-07-29,7.05,7.06,6.73,6.8,13575900
1999-07-30,6.8,6.86,6.71,6.74,7753300
1999-08-02,6.74,6.86,6.73,6.77,6593000
1999-08-03,6.78,6.8,6.63,6.68,9514900
1999-08-04,6.7,6.8,6.66,6.75,8469400
1999-08-05,6.77,6.98,6.75,6.89,14603500
1999-08-06,6.89,7.07,6.69,6.98,14542700
1999-08-09,6.98,7.05,6.86,6.93,10283800
1999-08-10,6.9,7.04,6.8,6.82,6168900
1999-08-11,6.79,6.82,6.68,6.69,4005600
1999-08-12,6.69,6.8,6.68,6.71,2367400
1999-08-13,6.75,6.85,6.74,6.78,2820200
1999-08-16,6.8,6.82,6.7,6.77,1864600
1999-08-17,6.78,6.9,6.75,6.77,3666200
1999-08-18,6.78,6.8,6.63,6.76,2824700
1999-08-19,6.96,6.96,6.81,6.87,7660700
1999-08-20,6.91,6.93,6.75,6.77,5523800
1999-08-23,6.76,6.83,6.71,6.77,3280200
1999-08-24,6.78,6.89,6.78,6.8,4586400
1999-08-25,6.81,6.96,6.78,6.84,7471200
1999-08-26,6.84,7.15,6.83,7.05,17541200
1999-08-27,7.09,7.1,6.97,6.99,7491900
1999-08-30,7.0,7.04,6.95,6.95,4711900
1999-08-31,6.97,7.02,6.92,7.0,4594200
1999-09-01,7.0,7.0,6.8,6.82,2762400
1999-09-02,6.8,6.94,6.78,6.9,3167000
1999-09-03,6.9,6.92,6.7,6.74,2259700
1999-09-06,6.74,6.84,6.7,6.75,1581200
1999-09-07,6.76,6.86,6.71,6.77,1491500
1999-09-08,6.8,6.87,6.76,6.79,1402700
1999-09-09,6.9,7.12,6.88,7.1,15861100
1999-09-10,7.16,7.48,7.08,7.22,24409400
1999-09-13,7.27,7.45,7.25,7.3,7229500
1999-09-14,7.33,7.38,7.1,7.18,6215600
1999-09-15,7.2,7.29,7.16,7.2,4761600
